LÍNEA 1,,LÍNEA 2,,LÍNEA 3
,,,Ciudad Azteca,"2,560,956",,,
TOTAL,"19,738,024",,TOTAL,"19,569,033",,TOTAL,"6,130,906"
,,,,,,,
,,,,,,,
,,,GRAN TOTAL,"199,534,520",,,
,,,,,,,
"* El total contempla el rubro de beneficiados por la cancelación de doble pago de la correspondencia Pantitlán, el cual asciende a 10,856,367"
LÍNEA 1,,LÍNEA 2,,LÍNEA 3
Pantitlán,"3,225,105",,Cuatro Caminos,"4,031,296",,Indios Verdes,"6,564,871"
Zaragoza,"2,361,207",,Panteones,"648,159",,Deptvo. 18 de Marzo,"1,635,921"
Gómez Farías,"2,026,449",,Tacuba,"1,944,736",,Potrero,"822,159"
Blvd. Puerto Aéreo,"1,556,254",,Cuitláhuac,"902,506",,La Raza,"1,768,765"
Balbuena,"615,505",,Popotla,"388,473",,Tlatelolco,"992,277"
Moctezuma,"1,194,960",,Colegio Militar,"586,836",,Guerrero,"586,914"
San Lázaro,"1,525,796",,Normal,"1,446,823",,Hidalgo,"681,457"
Candelaria,"1,717,933",,San Cosme,"853,849",,Juárez,"802,734"
Merced,"3,094,794",,Revolución,"1,128,256",,Balderas,"366,744"
Pino Suárez,"2,668,248",,Hidalgo,"1,529,581",,Niños Héroes/PJCDMX,"997,850"
Isabel la Católica,"1,235,979",,Bellas Artes,"1,088,622",,Hospital General,"962,799"
Salto del Agua,"1,192,371",,Allende,"1,330,760",,Centro Médico,"1,112,135"
Balderas,"889,708",,Zócalo,"1,137,968",,Etiopía/Plaza de la Trans.,"1,241,133"
Cuauhtémoc,"1,124,280",,Pino Suárez,"922,394",,Eugenia,"769,890"
Insurgentes,"2,731,832",,San Antonio Abad,"1,069,451",,División del Norte,"780,393"
Sevilla,"1,605,679",,Chabacano,"1,232,909",,Zapata,"2,151,361"
Chapultepec,"2,409,334",,Viaducto,"942,313",,Coyoacán,"1,189,642"
Juanacatlán,"522,869",,Xola,"972,188",,Viveros/Derechos Humanos,"1,100,219"
Tacubaya,"1,990,673",,Villa de Cortés,"805,368",,Miguel A. de Quevedo,"1,838,363"
Observatorio,"3,501,939",,Nativitas,"1,006,484",,Copilco,"1,233,757"
,,,Portales,"1,097,044",,Universidad,"2,635,993"
,,,Ermita,"1,021,727",,,
,,,General Anaya,"1,012,064",,,
,,,Tasqueña,"4,288,452",,,
TOTAL,"37,190,915",,TOTAL,"31,388,259",,TOTAL,"30,235,377"
,,,,,,,
,,,,,,,
,,,,,,,
LÍNEA 4,,LÍNEA 5,,LÍNEA 6
Santa Anita,"85,097",,Politécnico,"1,500,125",,El Rosario,"768,356"
Jamaica,"415,260",,Inst. del Petróleo,"305,986",,Tezozómoc,"283,359"
Fray Servando,"442,828",,Autobuses del Norte,"1,103,353",,Azcapotzalco,"305,928"
Candelaria,"492,123",,La Raza,"607,455",,Ferrería/Arena CDMX,"941,439"
Morelos,"499,235",,Misterios,"428,944",,Norte 45,"418,335"
Canal del Norte,"425,950",,Valle Gómez,"241,929",,Vallejo,"515,042"
Consulado,"205,433",,Consulado,"323,386",,Inst. del Petróleo,"136,625"
Bondojito,"318,419",,Eduardo Molina,"344,333",,Lindavista,"647,464"
Talismán,"231,248",,Aragón,"421,884",,Deptvo. 18 de Marzo,"79,396"
Martín Carrera,"1,175,979",,Oceanía,"504,262",,La Villa-Basilica,"599,953"
,,,Terminal Aérea,"1,173,533",,Martín Carrera,"1,435,368"
,,,Hangares,"243,440",,,
,,,Pantitlán,"5,527,687",,,
TOTAL,"4,291,572",,TOTAL,"12,726,317",,TOTAL,"6,131,265"
,,,,,,,
,,,,,,,
LÍNEA 7,,LÍNEA 8,,LÍNEA 9
El Rosario,"1,621,013",,Garibaldi/Lagunilla,"875,604",,Pantitlán,"6,134,160"
Aquiles Serdán,"569,357",,Bellas Artes,"1,117,359",,Puebla,"1,903,908"
Camarones,"784,460",,San Juan Letrán,"1,627,645",,Ciudad Deportiva,"340,855"
Refinería,"572,947",,Salto del Agua,"861,357",,Velódromo,"477,380"
Tacuba,"497,315",,Doctores,"779,223",,Mixiuhca,"1,176,280"
San Joaquín,"1,278,878",,Obrera,"856,622",,Jamaica,"711,132"
Polanco,"1,339,153",,Chabacano,"211,558",,Chabacano,"611,362"
Auditorio,"1,505,013",,La Viga,"387,830",,Lázaro Cárdenas,"734,093"
Constituyentes,"299,423",,Santa Anita,"253,667",,Centro Médico,"895,544"
Tacubaya,"300,100",,Coyuya,"1,516,665",,Chilpancingo,"2,519,664"
San Pedro los Pinos,"621,665",,Iztacalco,"1,093,193",,Patriotismo,"997,652"
San Antonio,"613,669",,Apatlaco,"912,796",,Tacubaya,"2,970,997"
Mixcoac,"1,672,863",,Aculco,"607,599",,,
Barranca del Muerto,"1,869,363",,Escuadrón 201,"1,134,185",,,
,,,Atlalilco,"1,278,861",,,
,,,Iztapalapa,"632,344",,,
,,,Cerro de la Estrella,"671,598",,,
,,,U A M  I,"1,367,450",,,
,,,Constitución de 1917,"5,269,851",,,
TOTAL,"13,545,219",,TOTAL,"21,455,407",,TOTAL,"19,473,027"
,,,,,,,
