LÍNEA 1,Afluencia,SD,LÍNEA 2,Afluencia,SD,LÍNEA 3,Afluencia
SD,SD,SD,General Anaya,"701,791",SD,SD,SD
SD,SD,SD,Tasqueña,"3,445,178",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA 4,Afluencia,SD,LÍNEA 5,Afluencia,SD,LÍNEA 6,Afluencia
Santa Anita,"97,964",SD,Politécnico,"1,411,251",SD,El Rosario,"713,015"
Jamaica,"347,735",SD,Inst. del Petróleo,"257,843",SD,Tezozómoc,"260,161"
Fray Servando,"354,676",SD,Autobuses del Norte,"1,056,374",SD,Azcapotzalco,"378,487"
Candelaria,"427,361",SD,La Raza,"582,871",SD,Ferrería/Arena CDMX,"820,568"
Morelos,"374,290",SD,Misterios,"379,606",SD,Norte 45,"396,869"
Canal del Norte,"369,354",SD,Valle Gómez,"200,290",SD,Vallejo,"488,009"
Consulado,"167,601",SD,Consulado,"268,905",SD,Inst. del Petróleo,"117,956"
Bondojito,"274,792",SD,Eduardo Molina,"308,463",SD,Lindavista,"567,163"
Talismán,"206,331",SD,Aragón,"380,888",SD,Deptvo. 18 de Marzo,"60,504"
Martín Carrera,"761,671",SD,Oceanía,"498,114",SD,La Villa-Basilica,"528,622"
SD,SD,SD,Terminal Aérea,"1,046,534",SD,Martín Carrera,"1,322,013"
SD,SD,SD,Hangares,"223,069",SD,SD,SD
SD,SD,SD,Pantitlán,"5,282,955",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA 7,Afluencia,SD,LÍNEA 8,Afluencia,SD,LÍNEA 9,Afluencia
El Rosario,"1,526,717",SD,Garibaldi/Lagunilla,"808,876",SD,Pantitlán,"4,932,021"
Aquiles Serdán,"518,245",SD,Bellas Artes,"793,331",SD,Puebla,"1,510,902"
Camarones,"684,561",SD,San Juan Letrán,"1,444,395",SD,Ciudad Deportiva,"264,401"
Refinería,"558,073",SD,Salto del Agua,"621,879",SD,Velódromo,"367,326"
Tacuba,"414,710",SD,Doctores,"705,863",SD,Mixiuhca,"984,843"
San Joaquín,"1,181,210",SD,Obrera,"653,001",SD,Jamaica,"565,116"
Polanco,"1,312,775",SD,Chabacano,"209,249",SD,Chabacano,"519,637"
Auditorio,"1,241,435",SD,La Viga,"353,125",SD,Lázaro Cárdenas,"683,205"
Constituyentes,"252,278",SD,Santa Anita,"225,425",SD,Centro Médico,"771,382"
Tacubaya,"265,385",SD,Coyuya,"1,264,347",SD,Chilpancingo,"2,221,381"
San Pedro los Pinos,"588,999",SD,Iztacalco,"1,055,675",SD,Patriotismo,"913,023"
San Antonio,"603,832",SD,Apatlaco,"896,055",SD,Tacubaya,"1,840,781"
Mixcoac,"1,458,633",SD,Aculco,"549,819",SD,SD,SD
Barranca del Muerto,"1,795,335",SD,Escuadrón 201,"1,072,717",SD,SD,SD
SD,SD,SD,Atlalilco,"1,105,634",SD,SD,SD
SD,SD,SD,Iztapalapa,"555,342",SD,SD,SD
SD,SD,SD,Cerro de la Estrella,"615,356",SD,SD,SD
SD,SD,SD,U A M  I,"1,260,949",SD,SD,SD
SD,SD,SD,Constitución de 1917,"4,669,976",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA A,Afluencia,SD,LÍNEA B,Afluencia,SD,LINEA 12,SD
Pantitlán,"8,854,673",SD,Buenavista,"2,800,928",SD,Tláhuac,"963,788"
Agrícola Oriental,"683,093",SD,Guerrero,"335,579",SD,Tlaltenco,"85,835"
Canal de San Juan,"756,527",SD,Garibaldi/Lagunilla,"224,726",SD,Zapotitlán,"274,098"
Tepalcates,"1,278,908",SD,Lagunilla,"874,432",SD,Nopalera,"463,526"
Guelatao,"924,900",SD,Tepito,"1,181,799",SD,Olivos,"290,351"
Peñón Viejo,"747,608",SD,Morelos,"135,318",SD,Tezonco,"476,011"
Acatitla,"780,139",SD,San Lázaro,"731,737",SD,Periférico Oriente,"509,751"
Santa Marta,"1,996,124",SD,Ricardo Flores Magón,"290,339",SD,Calle 11,"289,263"
Los Reyes,"1,245,428",SD,Romero Rubio,"468,770",SD,Lomas Estrella,"157,692"
La Paz,"2,470,624",SD,Oceanía,"465,753",SD,San Andrés Tomatlán,"180,714"
SD,SD,SD,Deportivo Oceanía,"639,511",SD,Culhuacán,"321,499"
SD,SD,SD,Bosque de Aragón,"246,995",SD,Atlalilco,"240,088"
SD,SD,SD,Villa de Aragón,"557,885",SD,Mexicaltzingo,"301,704"
SD,SD,SD,Nezahualcóyotl,"953,426",SD,Ermita,"187,739"
SD,SD,SD,Impulsora,"1,170,703",SD,Eje Central,"154,925"
SD,SD,SD,Río de los Remedios,"1,076,303",SD,Parque de los Venados,"143,547"
SD,SD,SD,Múzquiz,"1,690,044",SD,Zapata,"203,108"
SD,SD,SD,Ecatepec,"1,197,716",SD,20 de Noviembre,"167,296"
SD,SD,SD,Olímpica,"957,237",SD,Insurgentes Sur,"516,195"
SD,SD,SD,Plaza Aragón,"1,008,876",SD,Mixcoac,"203,776"
SD,SD,SD,Ciudad Azteca,"2,560,956",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA 1,Afluencia,SD,LÍNEA 2,Afluencia,SD,LÍNEA 3,Afluencia
Pantitlán,"3,225,105",SD,Cuatro Caminos,"4,031,296",SD,Indios Verdes,"6,564,871"
Zaragoza,"2,361,207",SD,Panteones,"648,159",SD,Deptvo. 18 de Marzo,"1,635,921"
Gómez Farías,"2,026,449",SD,Tacuba,"1,944,736",SD,Potrero,"822,159"
Blvd. Puerto Aéreo,"1,556,254",SD,Cuitláhuac,"902,506",SD,La Raza,"1,768,765"
Balbuena,"615,505",SD,Popotla,"388,473",SD,Tlatelolco,"992,277"
Moctezuma,"1,194,960",SD,Colegio Militar,"586,836",SD,Guerrero,"586,914"
San Lázaro,"1,525,796",SD,Normal,"1,446,823",SD,Hidalgo,"681,457"
Candelaria,"1,717,933",SD,San Cosme,"853,849",SD,Juárez,"802,734"
Merced,"3,094,794",SD,Revolución,"1,128,256",SD,Balderas,"366,744"
Pino Suárez,"2,668,248",SD,Hidalgo,"1,529,581",SD,Niños Héroes/PJCDMX,"997,850"
Isabel la Católica,"1,235,979",SD,Bellas Artes,"1,088,622",SD,Hospital General,"962,799"
Salto del Agua,"1,192,371",SD,Allende,"1,330,760",SD,Centro Médico,"1,112,135"
Balderas,"889,708",SD,Zócalo,"1,137,968",SD,Etiopía/Plaza de la Trans.,"1,241,133"
Cuauhtémoc,"1,124,280",SD,Pino Suárez,"922,394",SD,Eugenia,"769,890"
Insurgentes,"2,731,832",SD,San Antonio Abad,"1,069,451",SD,División del Norte,"780,393"
Sevilla,"1,605,679",SD,Chabacano,"1,232,909",SD,Zapata,"2,151,361"
Chapultepec,"2,409,334",SD,Viaducto,"942,313",SD,Coyoacán,"1,189,642"
Juanacatlán,"522,869",SD,Xola,"972,188",SD,Viveros/Derechos Humanos,"1,100,219"
Tacubaya,"1,990,673",SD,Villa de Cortés,"805,368",SD,Miguel A. de Quevedo,"1,838,363"
Observatorio,"3,501,939",SD,Nativitas,"1,006,484",SD,Copilco,"1,233,757"
SD,SD,SD,Portales,"1,097,044",SD,Universidad,"2,635,993"
SD,SD,SD,Ermita,"1,021,727",SD,SD,SD
SD,SD,SD,General Anaya,"1,012,064",SD,SD,SD
SD,SD,SD,Tasqueña,"4,288,452",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA 4,Afluencia,SD,LÍNEA 5,Afluencia,SD,LÍNEA 6,Afluencia
Santa Anita,"85,097",SD,Politécnico,"1,500,125",SD,El Rosario,"768,356"
Jamaica,"415,260",SD,Inst. del Petróleo,"305,986",SD,Tezozómoc,"283,359"
Fray Servando,"442,828",SD,Autobuses del Norte,"1,103,353",SD,Azcapotzalco,"305,928"
Candelaria,"492,123",SD,La Raza,"607,455",SD,Ferrería/Arena CDMX,"941,439"
Morelos,"499,235",SD,Misterios,"428,944",SD,Norte 45,"418,335"
Canal del Norte,"425,950",SD,Valle Gómez,"241,929",SD,Vallejo,"515,042"
Consulado,"205,433",SD,Consulado,"323,386",SD,Inst. del Petróleo,"136,625"
Bondojito,"318,419",SD,Eduardo Molina,"344,333",SD,Lindavista,"647,464"
Talismán,"231,248",SD,Aragón,"421,884",SD,Deptvo. 18 de Marzo,"79,396"
Martín Carrera,"1,175,979",SD,Oceanía,"504,262",SD,La Villa-Basilica,"599,953"
SD,SD,SD,Terminal Aérea,"1,173,533",SD,Martín Carrera,"1,435,368"
SD,SD,SD,Hangares,"243,440",SD,SD,SD
SD,SD,SD,Pantitlán,"5,527,687",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA 7,Afluencia,SD,LÍNEA 8,Afluencia,SD,LÍNEA 9,Afluencia
El Rosario,"1,621,013",SD,Garibaldi/Lagunilla,"875,604",SD,Pantitlán,"6,134,160"
Aquiles Serdán,"569,357",SD,Bellas Artes,"1,117,359",SD,Puebla,"1,903,908"
Camarones,"784,460",SD,San Juan Letrán,"1,627,645",SD,Ciudad Deportiva,"340,855"
Refinería,"572,947",SD,Salto del Agua,"861,357",SD,Velódromo,"477,380"
Tacuba,"497,315",SD,Doctores,"779,223",SD,Mixiuhca,"1,176,280"
San Joaquín,"1,278,878",SD,Obrera,"856,622",SD,Jamaica,"711,132"
Polanco,"1,339,153",SD,Chabacano,"211,558",SD,Chabacano,"611,362"
Auditorio,"1,505,013",SD,La Viga,"387,830",SD,Lázaro Cárdenas,"734,093"
Constituyentes,"299,423",SD,Santa Anita,"253,667",SD,Centro Médico,"895,544"
Tacubaya,"300,100",SD,Coyuya,"1,516,665",SD,Chilpancingo,"2,519,664"
San Pedro los Pinos,"621,665",SD,Iztacalco,"1,093,193",SD,Patriotismo,"997,652"
San Antonio,"613,669",SD,Apatlaco,"912,796",SD,Tacubaya,"2,970,997"
Mixcoac,"1,672,863",SD,Aculco,"607,599",SD,SD,SD
Barranca del Muerto,"1,869,363",SD,Escuadrón 201,"1,134,185",SD,SD,SD
SD,SD,SD,Atlalilco,"1,278,861",SD,SD,SD
SD,SD,SD,Iztapalapa,"632,344",SD,SD,SD
SD,SD,SD,Cerro de la Estrella,"671,598",SD,SD,SD
SD,SD,SD,U A M  I,"1,367,450",SD,SD,SD
SD,SD,SD,Constitución de 1917,"5,269,851",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA A,Afluencia,SD,LÍNEA B,Afluencia,SD,LINEA 12,SD
Pantitlán,"8,145,948",SD,Buenavista,"3,053,416",SD,Tláhuac,0
Agrícola Oriental,"726,039",SD,Guerrero,"348,278",SD,Tlaltenco,0
Canal de San Juan,"811,274",SD,Garibaldi/Lagunilla,"351,273",SD,Zapotitlán,0
Tepalcates,"1,348,559",SD,Lagunilla,"1,257,492",SD,Nopalera,0
Guelatao,"1,028,724",SD,Tepito,"1,406,825",SD,Olivos,0
Peñón Viejo,"858,666",SD,Morelos,"248,514",SD,Tezonco,0
Acatitla,"927,873",SD,San Lázaro,"803,199",SD,Periférico Oriente,0
Santa Marta,"2,269,333",SD,Ricardo Flores Magón,"368,313",SD,Calle 11,0
Los Reyes,"1,275,756",SD,Romero Rubio,"616,908",SD,Lomas Estrella,0
La Paz,"2,656,456",SD,Oceanía,"539,336",SD,San Andrés Tomatlán,0
SD,SD,SD,Deportivo Oceanía,"787,766",SD,Culhuacán,0
SD,SD,SD,Bosque de Aragón,"321,290",SD,Atlalilco,0
SD,SD,SD,Villa de Aragón,"668,685",SD,Mexicaltzingo,0
SD,SD,SD,Nezahualcóyotl,"1,047,106",SD,Ermita,0
SD,SD,SD,Impulsora,"1,266,720",SD,Eje Central,0
SD,SD,SD,Río de los Remedios,"1,258,087",SD,Parque de los Venados,0
SD,SD,SD,Múzquiz,"1,840,312",SD,Zapata,0
SD,SD,SD,Ecatepec,"1,208,403",SD,20 de Noviembre,0
SD,SD,SD,Olímpica,"1,025,464",SD,Insurgentes Sur,0
SD,SD,SD,Plaza Aragón,"1,171,562",SD,Mixcoac,0
SD,SD,SD,Ciudad Azteca,"2,816,717",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,JULIO - SEPTIEMBRE 2021,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA 1,Afluencia,SD,LÍNEA 2,Afluencia,SD,LÍNEA 3,Afluencia
Pantitlán,"3,658,377",SD,Cuatro Caminos,"4,258,505",SD,Indios Verdes,"7,369,193"
Zaragoza,"2,707,097",SD,Panteones,"704,541",SD,Deptvo. 18 de Marzo,"1,882,117"
Gómez Farías,"2,247,010",SD,Tacuba,"2,228,140",SD,Potrero,"956,833"
Blvd. Puerto Aéreo,"1,909,906",SD,Cuitláhuac,"1,044,092",SD,La Raza,"1,964,701"
Balbuena,"723,423",SD,Popotla,"460,831",SD,Tlatelolco,"1,150,658"
Moctezuma,"1,428,591",SD,Colegio Militar,"713,268",SD,Guerrero,"703,353"
San Lázaro,"1,885,335",SD,Normal,"1,707,428",SD,Hidalgo,"857,772"
Candelaria,"2,127,398",SD,San Cosme,"1,265,565",SD,Juárez,"973,623"
Merced,"3,594,958",SD,Revolución,"1,436,636",SD,Balderas,"439,427"
Pino Suárez,"2,881,456",SD,Hidalgo,"1,830,544",SD,Niños Héroes/PJCDMX,"1,137,142"
Isabel la Católica,"1,546,385",SD,Bellas Artes,"1,929,854",SD,Hospital General,"1,105,134"
Salto del Agua,"1,398,426",SD,Allende,"1,569,668",SD,Centro Médico,"1,161,177"
Balderas,"1,090,372",SD,Zócalo,"2,138,985",SD,Etiopía/Plaza de la Trans.,"1,455,826"
Cuauhtémoc,"1,243,947",SD,Pino Suárez,"1,130,140",SD,Eugenia,"871,439"
Insurgentes,"358,209",SD,San Antonio Abad,"987,284",SD,División del Norte,"884,197"
Sevilla,"1,742,768",SD,Chabacano,"1,492,093",SD,Zapata,"2,423,741"
Chapultepec,"2,831,592",SD,Viaducto,"1,115,543",SD,Coyoacán,"1,428,110"
Juanacatlán,"586,565",SD,Xola,"1,050,562",SD,Viveros/Derechos Humanos,"1,287,392"
Tacubaya,"2,206,501",SD,Villa de Cortés,"973,790",SD,Miguel A. de Quevedo,"2,152,462"
Observatorio,"4,105,929",SD,Nativitas,"1,041,954",SD,Copilco,"1,532,811"
SD,SD,SD,Portales,"1,293,867",SD,Universidad,"3,112,400"
